"site","trap","longitude","latitude","date_setup","date_collect","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"Narrikup","Trap 2",117.728324,-34.725057,2012-03-20,2012-03-21 09:33:33,0,0,0,0,1,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-03-20,2012-03-21 13:39:31,0,0,2,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-03-20,2012-03-21 14:48:34,1,0,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-03-20,2012-03-21 12:04:22,3,0,0,0,0,0,0,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-10-16,2012-10-17 14:05:40,20,0,1,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-10-16,2012-10-17 11:59:41,0,0,0,0,0,0,1,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-10-16,2012-10-17 14:04:05,46,0,1,0,0,0,0,3,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-10-16,2012-10-17 12:00:20,0,0,0,0,0,0,4,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-10-15,2012-10-16 00:00:00,511,2,6,0,15,0,0,2,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-10-15,2012-10-16 00:00:00,192,1,1,0,4,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-10-29,2012-10-30 16:25:58,4,0,0,0,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-10-30,2012-10-31 10:38:47,1,0,0,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-10-30,2012-10-31 11:06:41,0,2,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-10-30,2012-10-31 11:07:37,0,1,0,0,0,0,0,2,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-10-30,2012-10-31 12:08:24,1,0,1,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-10-30,2012-10-31 13:36:25,36,1,4,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-10-30,2012-10-31 12:07:34,1,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-10-30,2012-10-31 13:35:38,59,1,12,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-10-29,2012-10-30 16:25:27,4,0,0,0,1,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-10-28,2012-10-29 00:00:00,11,0,0,0,0,0,0,0,0,1,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-10-28,2012-10-29 00:00:00,8,0,0,0,0,0,0,0,0,1,0
"Quairading","Trap 1",117.666051,-32.188179,2012-11-07,2012-11-08 12:18:34,1,0,10,1,0,35,28,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-11-07,2012-11-08 14:35:31,80,0,5,0,0,0,0,3,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-11-07,2012-11-08 12:21:25,0,0,10,5,0,65,29,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-11-07,2012-11-08 14:36:29,77,0,1,0,0,0,0,1,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-11-19,2012-11-20 13:17:13,38,0,1,14,0,43,30,1,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-11-19,2012-11-20 15:16:30,36,0,1,0,0,1,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-11-19,2012-11-20 15:15:56,50,0,3,1,0,10,5,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-11-19,2012-11-20 13:16:06,22,0,0,2,0,20,6,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-11-27,2012-11-28 10:49:28,5,0,1,1,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-11-27,2012-11-28 10:51:14,13,1,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-11-27,2012-11-28 11:23:27,12,0,1,2,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-11-26,2012-11-27 16:13:44,14,0,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-11-26,2012-11-27 16:14:33,15,3,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-11-27,2012-11-28 12:33:16,25,1,2,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-11-27,2012-11-28 14:03:57,99,0,5,10,0,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-11-27,2012-11-28 10:50:42,5,0,0,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-11-27,2012-11-28 14:03:13,133,0,15,13,0,2,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-11-27,2012-11-28 12:32:30,41,1,3,0,0,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2012-12-04,2012-12-05 13:27:43,0,0,0,0,0,11,16,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2012-12-04,2012-12-05 13:28:16,0,0,2,1,0,15,10,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2012-12-04,2012-12-05 15:15:36,303,0,21,0,0,3,3,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2012-12-04,2012-12-05 15:16:41,102,0,13,2,0,11,2,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-11-27,2012-11-28 00:00:00,541,60,0,0,0,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-11-27,2012-11-28 00:00:00,376,62,0,0,2,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-11-22,2012-11-23 00:00:00,22,0,1,0,0,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-11-22,2012-11-23 00:00:00,25,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2012-12-17,2012-12-18 13:07:51,277,3,47,0,0,0,0,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2012-12-11,2012-12-12 09:27:41,123,0,8,0,0,2,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2012-12-11,2012-12-12 09:28:33,137,0,10,0,0,2,2,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2012-12-11,2012-12-12 12:22:17,46,0,4,1,0,5,6,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2012-12-11,2012-12-12 12:21:28,40,0,6,0,0,4,11,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2012-12-17,2012-12-18 11:20:27,115,1,0,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2012-12-17,2012-12-18 09:38:17,94,18,0,0,40,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2012-12-17,2012-12-18 11:55:03,117,1,4,3,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2012-12-17,2012-12-18 13:08:29,204,4,49,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2012-12-17,2012-12-18 14:47:36,2987,8,200,8,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2012-12-17,2012-12-18 09:36:17,143,34,0,0,41,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2012-12-17,2012-12-18 11:19:30,48,1,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2012-12-17,2012-12-18 11:54:34,141,5,10,5,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2012-12-17,2012-12-18 14:46:43,4134,6,226,12,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2012-12-23,2012-12-24 00:00:00,373,71,0,0,41,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2012-12-23,2012-12-24 00:00:00,461,65,0,0,22,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-01-03,2013-01-04 11:29:06,0,0,12,0,0,0,23,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-01-03,2013-01-04 13:53:19,11,0,40,0,0,10,7,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-01-09,2013-01-10 09:25:30,3,0,5,0,0,0,23,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-01-09,2013-01-10 11:46:31,2,0,0,0,0,7,16,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-01-03,2013-01-04 11:29:39,0,0,11,0,0,0,5,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-01-03,2013-01-04 13:54:06,11,0,54,0,0,11,9,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-01-09,2013-01-10 11:47:15,1,0,0,0,0,8,5,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-01-09,2013-01-10 09:26:10,4,0,1,0,0,0,18,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-01-23,2013-01-24 13:59:26,8,0,5,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-01-23,2013-01-24 11:34:24,27,2,2,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-01-23,2013-01-24 14:04:13,4,0,5,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-01-22,2013-01-23 15:58:38,1817,198,0,0,50,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-01-23,2013-01-24 11:35:03,44,0,5,1,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-01-23,2013-01-24 12:09:04,5,1,10,2,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-01-23,2013-01-24 15:26:32,11,1,6,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-01-23,2013-01-24 15:27:06,21,0,5,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-01-23,2013-01-24 12:08:21,20,3,8,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-01-22,2013-01-23 15:57:36,1738,290,0,0,40,0,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-01-30,2013-01-31 13:00:55,0,0,0,0,0,1,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-01-30,2013-01-31 13:01:42,0,0,0,0,0,5,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2012-12-18,2012-12-19 00:00:00,187,0,1,0,0,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-01-21,2013-01-22 00:00:00,6261,152,318,0,15,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-01-21,2013-01-22 00:00:00,4540,647,0,0,63,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-01-30,2013-01-31 15:08:51,2,0,2,1,0,1,1,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-01-30,2013-01-31 15:09:24,6,0,6,0,0,7,1,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-02-07,2013-02-08 09:38:06,0,0,2,0,0,1,16,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-02-07,2013-02-08 09:41:47,0,0,1,0,0,3,18,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-02-07,2013-02-08 11:46:55,6,0,5,0,0,5,312,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-02-07,2013-02-08 11:47:51,2,0,2,0,0,0,239,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-01-21,2013-01-22 00:00:00,5429,715,0,0,60,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-01-21,2013-01-22 00:00:00,6079,74,271,0,1,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-02-19,2013-02-20 11:36:08,4,0,4,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-02-19,2013-02-20 14:14:32,7,0,13,0,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-02-19,2013-02-20 15:20:18,40,0,19,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-02-19,2013-02-20 09:52:06,832,17,3,0,85,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-02-19,2013-02-20 12:07:48,1,3,1,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-02-19,2013-02-20 13:12:55,2,0,3,0,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-02-19,2013-02-20 12:07:24,1,0,5,0,0,0,0,0,0,0,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-02-19,2013-02-20 11:35:40,5,0,0,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-02-19,2013-02-20 13:12:09,2,0,2,0,0,0,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-02-19,2013-02-20 09:52:54,1189,12,0,0,97,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-02-19,2013-02-20 15:19:35,24,0,36,0,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-02-19,2013-02-20 14:16:23,7,0,12,0,0,0,0,0,0,0,0
"Clackline","Trap 1",116.574213,-31.729248,2013-02-26,2013-02-27 14:20:52,12,0,26,1,0,18,0,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-02-26,2013-02-27 12:12:52,0,0,13,0,0,0,1,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-02-26,2013-02-27 12:13:25,0,0,0,2,0,30,0,0,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-02-26,2013-02-27 14:21:33,16,0,33,0,0,3,0,0,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-03-18,2013-03-19 16:07:11,96,3,1,0,10,0,0,0,0,0,0
"Jingalup","Trap 2",116.97241,-34.003891,2013-03-19,2013-03-20 10:06:58,0,0,0,1,0,0,0,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-03-19,2013-03-20 11:19:27,0,0,1,0,0,0,0,0,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-03-19,2013-03-20 11:20:08,0,0,1,0,0,0,0,0,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-03-19,2013-03-20 13:48:23,5,0,4,0,0,0,0,0,0,0,0
"Duranillin","Trap 1",116.827276,-33.479275,2013-03-19,2013-03-20 13:49:10,10,0,3,0,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-03-19,2013-03-20 14:50:45,23,1,1,3,0,0,0,0,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-03-19,2013-03-20 14:51:23,19,0,6,1,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-03-19,2013-03-20 15:21:37,311,4,24,0,0,0,0,0,0,0,0
"Narrikine","Trap 1",116.751078,-32.968845,2013-03-19,2013-03-20 15:22:17,175,2,14,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-03-18,2013-03-19 16:06:25,13,0,0,0,2,0,0,0,0,1,0
"Jingalup","Trap 1",116.972397,-34.004007,2013-03-19,2013-03-20 10:06:21,2,0,1,3,0,0,0,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-03-25,2013-03-26 11:48:55,0,0,0,0,0,0,2,0,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-03-25,2013-03-26 11:48:17,0,0,0,0,0,4,2,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2012-12-18,2012-12-19 00:00:00,187,1,1,1,2,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-03-19,2013-03-20 00:00:00,214,5,27,1,1,0,0,0,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-03-19,2013-03-20 00:00:00,100,3,4,1,0,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-03-18,2013-03-19 00:00:00,186,1,0,0,4,0,0,0,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-02-20,2013-02-21 00:00:00,677,103,0,0,3,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-02-20,2013-02-21 00:00:00,624,80,0,0,1,0,0,0,0,0,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-03-18,2013-03-19 00:00:00,263,4,0,0,5,0,0,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-04-03,2013-04-04 09:46:23,2,0,2,0,0,1,1,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-04-03,2013-04-04 11:46:51,9,0,3,1,0,4,22,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-04-03,2013-04-04 11:47:53,4,0,2,73,0,25,16,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-04-03,2013-04-04 09:45:42,7,0,4,0,0,1,3,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-03-05,2013-03-06 00:00:00,5,0,13,0,0,3,2,0,0,0,0
"Bullsbrook","Trap 2",116.007969,-31.711522,2013-03-05,2013-03-06 00:00:00,1,0,5,0,0,0,1,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-03-05,2013-03-06 00:00:00,0,0,9,0,0,1,8,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-03-05,2013-03-06 00:00:00,4,0,32,0,0,4,9,0,0,0,0
"Kojonup","Trap 1",117.182348,-33.908095,2013-04-16,2013-04-17 12:05:27,0,0,0,0,0,0,0,1,0,0,0
"Narrikup","Trap 2",117.728324,-34.725057,2013-04-16,2013-04-17 09:47:07,3,0,1,0,7,0,0,7,0,0,0
"Kojonup","Trap 2",117.182336,-33.908102,2013-04-16,2013-04-17 12:06:14,0,0,0,0,0,0,0,1,0,0,0
"Duranillin","Trap 2",116.827388,-33.479177,2013-04-16,2013-04-17 13:14:01,0,0,0,0,0,0,0,1,0,0,0
"Williams","Trap 2",116.938162,-33.060184,2013-04-16,2013-04-17 14:04:55,4,0,4,1,0,0,0,0,0,0,0
"Williams","Trap 1",116.938316,-33.06014,2013-04-16,2013-04-17 14:05:32,1,0,2,0,0,0,1,1,0,0,3
"Narrikine","Trap 1",116.751078,-32.968845,2013-04-16,2013-04-17 14:50:14,27,0,5,1,0,0,0,0,0,0,0
"Narrikine","Trap 2",116.751078,-32.968848,2013-04-16,2013-04-17 14:50:49,21,0,2,0,0,0,0,0,0,0,0
"Narrikup","Trap 1",117.728324,-34.725057,2013-04-16,2013-04-17 09:46:13,0,0,0,0,10,0,0,5,0,0,0
"Manjimup","Trap 1",116.087979,-34.322199,2013-04-15,2013-04-16 00:00:00,65,1,0,0,11,0,0,2,0,4,0
"Manjimup","Trap 2",116.087985,-34.322194,2013-04-15,2013-04-16 00:00:00,69,1,0,0,4,0,0,1,0,6,0
"Clackline","Trap 1",116.574213,-31.729248,2013-04-23,2013-04-24 00:00:00,6,0,13,0,0,0,30,3,0,0,0
"Clackline","Trap 2",116.574014,-31.729294,2013-04-23,2013-04-24 00:00:00,13,0,16,0,0,0,51,5,0,0,0
"Vasse","Trap 1",115.337179,-33.750399,2013-04-16,2013-04-17 00:00:00,609,8,146,0,4,0,0,0,0,0,0
"Vasse","Trap 2",115.337179,-33.7504,2013-04-16,2013-04-17 00:00:00,1442,12,139,2,4,0,0,2,0,0,0
"Quairading","Trap 1",117.666051,-32.188179,2013-04-23,2013-04-24 00:00:00,0,0,5,0,0,0,15,0,0,0,0
"Quairading","Trap 2",117.665843,-32.188177,2013-04-23,2013-04-24 00:00:00,0,0,8,0,0,0,0,0,0,0,0
"Badgingarra","Trap 1",115.591779,-30.277467,2013-05-01,2013-05-02 00:00:00,1,0,0,0,0,1,5,0,0,0,0
"Badgingarra","Trap 2",115.591987,-30.277745,2013-05-01,2013-05-02 00:00:00,0,0,1,0,0,2,3,0,0,0,0
"Bullsbrook","Trap 1",116.008171,-31.711725,2013-05-01,2013-05-02 00:00:00,5,0,4,0,0,2,12,0,0,0,0
